Town,Box code,Street code,City
ARAUNA,,7560,BRACKENFELL
ARBEX,3904,,RICHARDS BAY
ARBOR PARK,2954,,NEWCASTLE
ARBORETUM,9305,9301,BLOEMFONTEIN
ARBORETUM,3900,3900,RICHARDS BAY
ARBORETUM EXT,3900,,RICHARDS BAY
ARBORETUM UIT,3900,,RICHARDS BAY
ARBORPARK,0850,0850,TZANEEN
ARCADIA,,5201,EAST LONDON
ARCADIA,,6059,PORT ELIZABETH
ARCADIA,,6300,HUMANSDORP
ARCADIA,0007,0083,PRETORIA
ARCADIA CENTRE,,7570,KRAAIFONTEIN
ARCON PARK,1937,1939,VEREENIGING
ARCON PARK EXT 1,,1939,VEREENIGING
ARCON PARK UIT 1,,1939,VEREENIGING
ARDLEIGH PARK,,7945,RETREAT
AREA AL,,7785,MITCHELLS PLAIN
AREA SST,,7784,KHAYELITSHA
AREEN,,2745,MAFIKENG
ARENA,,8345,
ARENA PARK,,4092,CHATSWORTH
ARENDSDALE,7353,7353,ATLANTIS
ARGYLE,,2001,JOHANNESBURG
ARLINGTON,9602,9602,-
ARMADALE,2013,2190,JOHANNESBURG
ARNISTON,7280,,
ARNOLDTON,,5247,EAST LONDON
ARNOT,1051,,MIDDELBURG
ARNOT COLLIERY,1097,,WITBANK
ASANDE,3227,,IMPENDLE
ASCOT VILLAGE,,7780,LANSDOWNE
ASHBURNHAM,,8301,KIMBERLEY
ASHBURTON,3213,,PIETERMARITZBURG
ASHBURY,,6720,MONTAGU
ASHDOWN,3216,3201,PIETERMARITZBURG
ASHDOWN MCP,3204,,EDENDALE
ASHERVILLE,,6281,GRAAFF-REINET
ASHERVILLE,,4091,DURBAN
ASHLEA GARDENS,,0081,MENLO PARK
ASHLEY,,3610,PINETOWN
ASHTON,6715,6715,-
ASHWOOD,3605,,PINETOWN
ASIATIC BAZAAR,,0183,PRETORIA WEST
ASIATIC EXT,1300,1300,BARBERTON
ASIATIC UIT,1300,1300,BARBERTON
ASIATIC EXT 1,1300,1300,BARBERTON
ASIATIC UIT 1,1300,1300,BARBERTON
ASKEATON,5413,,-
ASKHAM,8814,8814,-
ASKRAAL,6667,,
ASLA PARK,,6506,MOSSEL BAY
ASOKA HEIGHTS,,4200,
ASOKAHOOGTE,,4200,
ASPEN HEIGHTS,,6059,PORT ELIZABETH
ASSAGAY,3624,3610,HILLCREST
ASTON BAY,6332,,JEFFREYS BAY
ASTONBAAI,6332,,JEFFREYS BAY
ASTON MANOR,1630,1619,KEMPTON PARK
ATAMELANG,2732,2732,-
ATHENA GARDENS,,4037,DURBAN
ATHLONE,,4051,DURBAN NORTH
ATHLONE,7760,7764,CAPE TOWN
ATHLONE,,3201,PIETERMARITZBURG
ATHLONE INDUSTRIA 1,,7764,CAPE TOWN
ATHLONE INDUSTRIA 2,,7764,CAPE TOWN
ATHLONE PARK,,4126,AMANZIMTOTI
ATHOLHURST,,2196,JOHANNESBURG
ATHOLL,,2196,JOHANNESBURG
ATHOLL EXT 10,2031,,JOHANNESBURG
ATHOLL UIT 10,2031,,JOHANNESBURG
ATHOLL EXT 11,2031,,JOHANNESBURG
ATHOLL UIT 11,2031,,JOHANNESBURG
ATHOLL EXT 12,2031,,JOHANNESBURG
ATHOLL UIT 12,2031,,JOHANNESBURG
ATHOLL EXT 15,2031,,JOHANNESBURG
ATHOLL UIT 15,2031,,JOHANNESBURG
ATHOLL EXT 17,2031,,JOHANNESBURG
ATHOLL UIT 17,2031,,JOHANNESBURG
ATHOLL EXT 18,2031,,JOHANNESBURG
ATHOLL UIT 18,2031,,JOHANNESBURG
ATHOLL EXT 2,2031,,JOHANNESBURG
ATHOLL UIT 2,2031,,JOHANNESBURG
ATHOLL EXT 20,2031,,JOHANNESBURG
ATHOLL UIT 20,2031,,JOHANNESBURG
ATHOLL EXT 23,2031,,JOHANNESBURG
ATHOLL UIT 23,2031,,JOHANNESBURG
ATHOLL EXT 24,2031,,JOHANNESBURG
ATHOLL UIT 24,2031,,JOHANNESBURG
ATHOLL EXT 34,2031,,JOHANNESBURG
ATHOLL UIT 34,2031,,JOHANNESBURG
ATHOLL EXT 36,2031,,JOHANNESBURG
ATHOLL UIT 36,2031,,JOHANNESBURG
ATHOLL EXT 4,,2196,JOHANNESBURG
ATHOLL UIT 4,,2196,JOHANNESBURG
ATHOLL EXT 5,2031,,JOHANNESBURG
ATHOLL UIT 5,2031,,JOHANNESBURG
ATHOLL EXT 6,2031,,JOHANNESBURG
ATHOLL UIT 6,2031,,JOHANNESBURG
ATHOLL EXT 7,,2196,JOHANNESBURG
ATHOLL UIT 7,,2196,JOHANNESBURG
ATHOLL EXT 9,2031,,JOHANNESBURG
ATHOLL UIT 9,2031,,JOHANNESBURG
ATHOLL GARDENS,,2196,JOHANNESBURG
ATHOLL HEIGHTS,,3629,WESTVILLE
ATHOLTON,4301,,MOUNT EDGECOMBE
ATLANTA,0267,,BRITS
ATLANTA,,5880,CRADOCK
ATLANTIC BEACH,,7441,MILNERTON
ATLANTIC GOLF ESTATE,,7441,MILNERTON
ATLANTIC GOLF LANDGOED,,7441,MILNERTON
ATLANTIS,,7349,DASSENBERG
ATLANTIS EXT 12,,7349,DASSENBERG
